Symptom,Description
itching,"Itching is an irritating sensation that makes you want to scratch your skin. Sometimes it can feel like pain, but it is different. Often, you feel itchy in one area in your body, but sometimes you may feel itching all over. Along with the itching, you may also have arashorhives."
skin_rash,"A rash is an areaof irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin. Rashes are a symptom of many different medical problems."
nodal_skin_eruptions,"A growth that differs in color from other spots or moles on your body should be checked out. Most nodular melanomas will appear as ablackish-blue, dark brown, or reddish-blue bump. Some nodular melanoma nodules will have no color or will be flesh toned. Diameter."
continuous_sneezing,"Sneezing is caused byirritation to the mucous membranes of the nose or throat. It can be very bothersome, but is rarely a sign of a serious problem. Sneezing can be due to: Allergy to pollen (hay fever), mold, dander, dust. Breathing in corticosteroids (from certain nose sprays)"
shivering,"Shiver, quake, shudder refer toa vibratory muscular movement, a trembling, usually involuntary. We shiver with cold, or a sensation such as that of cold: to shiver in thin clothing on a frosty day; to shiver with pleasant anticipation. We quake especially with fear: to quake with fright."
chills,The term chills refers toa feeling of being cold without an apparent cause. You get this feeling when your muscles repeatedly expand and contract and the vessels in your skin constrict. Chills can occur with a fever and cause shivering or shaking.
joint_pain,"Joint pain can bediscomfort, pain or inflammation arising from any part of a joint including cartilage, bone, ligaments, tendons or muscles. Most commonly, however, joint pain refers to arthritis or arthralgia, which is inflammation or pain from within the joint itself."
stomach_pain,"Abdominal pain ispain that occurs between the chest and pelvic regions. Abdominal pain can be crampy, achy, dull, intermittent, or sharp. It's also called a stomachache. Localized pain is limited to one area of the abdomen."
acidity,"One common cause ofacid refluxdisease is a stomach abnormality called ahiatal hernia. This occurs when the upper part of the stomach and LES move above the diaphragm, a muscle that separates your stomach from your chest. Normally, the diaphragm helps keep acid in our stomach. But if you have ahiatal hernia, acid can move up into your esophagus and causesymptoms of acid refluxdisease."
ulcers_on_tongue,"Tongue ulcers arewhiteish sores on the tongue. Also called canker sores, a 2019 article notes that these ulcers most often develop on the inside of the lips and cheeks. However, they can sometimes appear in other areas of the mouth, such as the gums, tongue, and roof of the mouth"
muscle_wasting,"In addition to reduced muscle mass, symptoms of muscle atrophy include: having one arm or leg that is noticeably smaller than the others. experiencing weakness in one limb or generally. having difficulty balancing."
vomiting,"Vomiting isan uncontrollable reflex that expels the contents of the stomach through the mouth. It's also called being sick or throwing up. Nausea is a term that describes the feeling that you might vomit, but aren't actually vomiting."
burning_micturition,"A burn isdamage to your body's tissues caused by heat, chemicals, electricity, sunlight, or radiation. Scalds from hot liquids and steam, building fires and flammable liquids and gases are the most common causes of burns. Another kind is an inhalation injury, caused by breathing smoke"
spotting_urination,"Inhematuria, your kidneys  or other parts of your urinary tract  allow blood cells to leak into urine. Various problems can cause this leakage, including: Urinary tract infections. These occur when bacteria enter your body through the urethra and multiply in your bladder"
fatigue,"Fatigue can be described as the lack of energy and motivation (both Physical and mental). This is different than drowsiness, a term that describes the need to sleep.Other words that a person might use to describe fatigue may include: lethargic, listless, lack of energy, tired,  worn out"
weight_gain,"Weight gain isan increase in body weight. This can involve an increase in muscle mass, fat deposits, excess fluids such as water or other factors. Weight gain can be a symptom of a serious medical condition."
anxiety,"Anxiety isa feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress. For example, you might feel anxious when faced with a difficult problem at work, before taking a test, or before making an important decision"
cold_hands_and_feets,"Raynaud's syndrome, also known as Raynaud's phenomenon or Raynaud's disease, is a condition that makes your fingers or sometimes other parts of your body feel cold or numb. It results from the narrowing of arteries in your hands or feet, which stops the blood from having normal circulation."
mood_swings,"The ""mood swing"" phenomenon is a common conceptused to describe rapidly and intensely fluctuating emotions. People often describe mood swings as a roller coaster of feelings from happiness and contentment to anger, irritability, and even depression."
weight_loss,"Weight loss, in the context of medicine, health, or physical fitness, refers toa reduction of the total body mass, by a mean loss of fluid, body fat (adipose tissue), or lean mass (namely bone mineral deposits, muscle, tendon, and other connective tissue)."
restlessness,"Restlessness is another commonsymptom of anxiety, especially in children and teens. When someone is experiencing restlessness, they often describe it as feeling on edge or having an uncomfortable urge to move."
lethargy,Lethargycauses you to feel sleepy or fatigued and sluggish. This sluggishness may be physical or mental. People with these symptoms are described as lethargic. Lethargy can be related to an underlying physical or mental condition.
patches_in_throat,"White patches at the back of your throat or on your tonsils are usually signs ofinfection, particularly strep throat, tonsillitis, or mononucleosis; they are sometimes associated with a syphilitic infection."
irregular_sugar_level,Dysglycemia is a broad term that refers toan abnormality in blood sugar stability. This can include hypoglycemia (low blood sugar) or hyperglycemia (high blood sugar). Blood sugar is regulated through insulin. Insulin is a hormone produced in the pancreas.
